air_store_id,hpg_store_id,visit_date,reserve_visitors_air,reserve_visitors_hpg,visitors,reserve_visitors
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-10-27,12,2,48,14
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-10-28,4,2,25,6
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-10-29,17,28,42,45
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-11-01,74,3,76,77
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-11-04,11,7,5,18
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-11-05,26,12,51,38
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-11-07,2,2,9,4
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-11-19,13,9,66,22
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-11-22,13,4,7,17
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-11-23,15,2,36,17
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-11-24,10,2,25,12
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-11-25,15,4,19,19
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-11-28,4,2,17,6
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-11-29,12,7,17,19
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-12-02,14,8,8,22
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-12-09,39,9,39,48
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-12-10,13,8,51,21
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-12-12,4,2,23,6
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-12-13,7,3,23,10
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-12-16,19,20,18,39
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-12-17,22,23,56,45
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-12-19,20,2,9,22
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-12-22,45,19,70,64
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-12-23,58,2,18,60
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-12-24,20,10,24,30
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-12-26,20,2,37,22
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-12-27,25,5,14,30
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-12-28,26,2,67,28
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-12-29,24,5,30,29
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2016-12-30,24,5,27,29
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-01-06,21,17,21,38
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-01-07,8,4,41,12
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-01-08,18,2,27,20
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-01-10,2,2,9,4
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-01-11,4,2,8,6
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-01-14,18,4,21,22
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-01-21,29,10,46,39
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-01-23,20,14,2,34
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-01-25,25,2,10,27
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-01-26,16,6,3,22
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-01-27,27,8,48,35
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-01-28,37,13,39,50
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-02-01,9,5,14,14
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-02-03,32,20,51,52
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-02-04,35,8,20,43
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-02-06,4,4,46,8
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-02-09,28,4,36,32
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-02-10,19,14,50,33
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-02-11,28,4,46,32
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-02-15,9,2,44,11
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-02-17,22,3,17,25
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-02-18,19,12,64,31
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-02-22,11,9,25,20
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-02-23,20,11,27,31
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-02-25,33,13,47,46
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-02-27,9,5,3,14
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-03-01,15,7,21,22
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-03-02,16,4,74,20
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-03-03,17,12,11,29
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-03-04,44,7,93,51
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-03-08,8,6,51,14
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-03-09,27,5,39,32
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-03-10,33,6,38,39
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-03-11,21,2,16,23
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-03-13,26,26,90,52
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-03-14,18,14,20,32
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-03-16,16,3,68,19
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-03-17,21,2,23,23
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-03-18,6,2,67,8
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-03-19,28,2,60,30
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-03-22,11,2,18,13
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-03-23,27,6,68,33
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-03-24,21,9,42,30
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-03-28,13,10,45,23
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-03-30,24,10,12,34
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-03-31,40,11,60,51
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-04-01,17,10,90,27
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-04-03,8,8,12,16
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-04-06,10,2,17,12
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-04-07,22,7,24,29
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-04-08,20,7,34,27
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-04-11,9,6,22,15
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-04-12,31,7,33,38
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-04-14,29,12,42,41
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-04-15,23,8,66,31
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-04-18,16,9,46,25
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-04-21,45,8,47,53
air_3e93f3c81008696d,hpg_c2a8494d55fafbd6,2017-04-22,25,2,52,27
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-02-08,2,7,6,9
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-03-12,3,3,30,6
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-03-14,2,4,8,6
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-03-21,2,2,4,4
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-03-24,10,10,24,20
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-03-28,2,2,5,4
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-03-30,9,9,14,18
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-04-02,13,13,39,26
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-04-08,7,23,13,30
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-04-12,6,6,8,12
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-04-22,4,8,10,12
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-04-24,4,4,44,8
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-04-27,3,3,15,6
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-04-29,4,4,30,8
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-04-30,8,8,21,16
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-05-01,2,4,13,6
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-05-04,2,2,27,4
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-05-07,2,2,17,4
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-05-09,5,5,11,10
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-05-21,2,2,19,4
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-05-28,2,9,57,11
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-06-03,4,4,20,8
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-06-04,4,4,29,8
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-06-10,11,15,27,26
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-06-16,2,2,5,4
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-06-17,4,4,14,8
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-06-18,6,12,17,18
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-06-25,8,6,33,14
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-07-02,2,6,18,8
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-07-07,3,3,5,6
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-07-10,4,14,46,18
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-07-15,2,2,18,4
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-07-16,2,5,20,7
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-07-25,2,2,5,4
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-10-28,10,10,34,20
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-10-30,4,4,33,8
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-10-31,3,3,11,6
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-11-05,6,6,11,12
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-11-10,4,4,8,8
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-11-11,8,8,4,16
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-11-21,2,2,8,4
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-11-25,5,7,5,12
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-12-14,3,3,9,6
air_37189c92b6c761ec,hpg_2e10e1956528199a,2016-12-15,8,23,21,31
air_37189c92b6c761ec,hpg_2e10e1956528199a,2017-01-30,2,2,11,4
air_37189c92b6c761ec,hpg_2e10e1956528199a,2017-02-15,18,53,27,71
air_37189c92b6c761ec,hpg_2e10e1956528199a,2017-03-06,2,2,58,4
air_37189c92b6c761ec,hpg_2e10e1956528199a,2017-03-13,4,4,8,8
air_37189c92b6c761ec,hpg_2e10e1956528199a,2017-04-17,2,2,3,4
air_37189c92b6c761ec,hpg_2e10e1956528199a,2017-04-18,6,10,7,16
air_37189c92b6c761ec,hpg_2e10e1956528199a,2017-04-21,18,18,2,36
air_7514d90009613cd6,hpg_08def9f764fcca4c,2016-11-09,12,7,18,19
air_7514d90009613cd6,hpg_08def9f764fcca4c,2016-12-02,47,33,98,80
air_7514d90009613cd6,hpg_08def9f764fcca4c,2016-12-03,29,21,55,50
air_7514d90009613cd6,hpg_08def9f764fcca4c,2016-12-04,88,11,207,99
air_7514d90009613cd6,hpg_08def9f764fcca4c,2016-12-10,86,27,146,113
air_7514d90009613cd6,hpg_08def9f764fcca4c,2016-12-13,8,28,23,36
air_7514d90009613cd6,hpg_08def9f764fcca4c,2016-12-17,107,157,170,264
air_7514d90009613cd6,hpg_08def9f764fcca4c,2016-12-23,20,15,129,35
